innovation,dose,form,alternative_names,category,technology,disease,target_population,indication,archetype,phase_1_status,phase_1_date,phase_2_status,phase_2_date,phase_3_status,phase_3_date,phase_4_status,phase_4_date,trial_status,trial_status_notes,date_trial_status,kenya_nra,kenya_nra_date,senegal_nra,senegal_nra_date,south_africa_nra,south_africa_nra_date,other_nra,other_nra_date,nra_other_body,kenya_eml,kenya_eml_date,senegal_eml,senegal_eml_date,south_africa_eml,south_africa_eml_date,who_eml,who_eml_date,gra,gra_date,gra_body,gra_note,manufacturer,dalys,disease_prevalence,improvement,dalys_averted,deaths_averted,yll,hs_costs,dalys_monetized,prob_success,procurement,reg_approval,policy_readiness,social_context,guidelines,policy_implemented,date_market,country_supply,distribution,delivery_model,efficacy,date_proof_of_concept,date_first_regulatory,date_first_launch,proj_date_first_regulatory,proj_date_first_launch,proj_date_lmic_20_uptake,readiness,financing,impact_potential,introduction_readiness,data_source
Bictegravir/Lenacapavir,NA,NA,NA,Therapeutic,Combination antiretroviral therapy (cART),HIV,Children,Treatment of HIV,NA,,,,,,,,,Phase 2,,1/21/26,No,NA,No,NA,No,NA,NA,NA,NA,No,2023,No,2022,No,2024,NA,NA,NO,NA,NA,NA,Gilead Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenacapavir / Optimized Background Regimen (OBR),NA,NA,NA,Therapeutic,NA,HIV,adult HIV,Treatment of HIV-1 in heavily treatment-experienced (HTE) adults with multi-drug resistant (MDR) HIV-1.,NA,NA,NA,Completed,NA,Completed,9/26/25,NA,NA,Phase 3,Phase 2 and 3,9/26/25,No,NA,No,Yes,Yes,NA,NA,NA,NA,No,2023,No,2022,No,2024,NA,NA,NA,NA,NA,NA,NA,45000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/26/25,NA,NA,5/9/28,9/3/28,9/4/33,NA,NA,NA,NA,https://www.impactglobalhealth.org/data/infectious-disease
islatravir /  lenacapavir,NA,NA,MK-8591D,Therapeutic,Small Molecule,HIV,all ages HIV,Treatment of HIV-1 infection,New Chemical Entity,NA,NA,NA,NA,Completed,11/13/25,NA,NA,Phase 3,NA,11/13/25,NA,NA,NA,NA,No,NA,NA,NA,NA,No,2023,No,2022,No,2024,NA,NA,NA,NA,NA,NA,Gilead Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/13/25,NA,NA,6/26/28,10/21/28,10/22/33,NA,NA,NA,NA,NA
